_,,,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 4, 2022.",,,,,,,,,,,,
State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Illinois,Tazewell County,17179,135394,ND,ND,ND,ND,ND,ND,ND,ND,12
Illinois,Wabash County,17185,11947,ND,ND,ND,ND,ND,ND,ND,ND,21
Illinois,Will County,17197,677560,ND,ND,ND,ND,0.065,ND,10.2,23,ND
Illinois,Winnebago County,17201,295266,ND,ND,ND,ND,0.067,ND,9.8,24,ND
Indiana,Allen County,18003,355329,ND,ND,ND,ND,0.065,ND,IN,IN,ND
Indiana,Bartholomew County,18005,76794,ND,ND,ND,ND,0.063,ND,7.8,19,ND
Indiana,Boone County,18011,56640,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Indiana,Brown County,18013,15242,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Indiana,Carroll County,18015,20155,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Indiana,Clark County,18019,110232,ND,ND,ND,ND,0.063,43,10.5,26,ND
Indiana,Daviess County,18027,31648,ND,ND,ND,ND,ND,ND,ND,ND,IN
Indiana,Delaware County,18035,117671,ND,0.04,ND,ND,0.064,ND,8.9,24,ND
Indiana,Dubois County,18037,41889,ND,ND,ND,ND,ND,30,9.4,27,ND
Indiana,Elkhart County,18039,197559,ND,ND,ND,ND,0.063,ND,8.6,22,ND
Indiana,Floyd County,18043,74578,ND,ND,ND,ND,0.064,ND,IN,IN,4
Indiana,Gibson County,18051,33503,ND,ND,ND,ND,ND,ND,IN,IN,37
Indiana,Greene County,18055,33165,ND,ND,ND,ND,0.066,ND,8.4,22,ND
Indiana,Hamilton County,18057,274569,ND,ND,ND,ND,0.065,ND,9.9,25,ND
Indiana,Hendricks County,18063,145448,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Indiana,Henry County,18065,49462,ND,ND,ND,ND,ND,ND,8.1,24,ND
Indiana,Howard County,18067,82752,ND,ND,ND,ND,0.064,ND,8.1,22,ND
Indiana,Knox County,18083,38440,ND,ND,ND,ND,0.069,ND,IN,IN,ND
Indiana,Lake County,18089,496005,ND,0.03,9,44,0.07,82,10.8,25,32
Indiana,LaPorte County,18091,111467,ND,ND,ND,ND,0.072,ND,8.3,22,ND
Indiana,Madison County,18095,131636,ND,ND,ND,ND,ND,ND,9.7,25,ND
Indiana,Marion County,18097,903393,2,ND,12,40,0.067,55,12.6,32,3
Indiana,Monroe County,18105,137974,ND,ND,ND,ND,ND,ND,8.2,20,ND
Indiana,Montgomery County,18107,38124,ND,ND,ND,ND,ND,ND,IN,IN,ND
Indiana,Perry County,18123,19338,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Indiana,Porter County,18127,164343,ND,0.01,ND,ND,0.072,166,8.8,25,73
Indiana,Posey County,18129,25910,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Indiana,St. Joseph County,18141,266931,ND,ND,5,IN,0.066,ND,10,24,ND
Indiana,Shelby County,18145,44436,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Indiana,Spencer County,18147,20952,ND,ND,ND,ND,ND,ND,8.7,24,ND
Indiana,Sullivan County,18153,21475,ND,ND,ND,ND,ND,ND,IN,IN,ND
Indiana,Tippecanoe County,18157,172780,ND,ND,ND,ND,ND,ND,8.7,23,ND
Indiana,Vanderburgh County,18163,179703,1,ND,5,30,0.064,45,10.5,27,9
Indiana,Vigo County,18167,107848,ND,ND,ND,ND,0.063,ND,9.6,24,4
Indiana,Wabash County,18169,32888,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Indiana,Warrick County,18173,59689,ND,ND,ND,ND,0.066,ND,ND,ND,21
Indiana,Whitley County,18183,33292,ND,ND,ND,ND,ND,ND,9,21,ND
Iowa,Black Hawk County,19013,131090,ND,ND,ND,ND,ND,ND,8.6,25,ND
Iowa,Bremer County,19017,24276,ND,ND,ND,ND,0.064,ND,IN,IN,ND
Iowa,Cerro Gordo County,19033,44151,ND,ND,ND,ND,ND,57,IN,IN,ND
Iowa,Clinton County,19045,49116,ND,ND,ND,ND,0.064,ND,9.1,22,17
Iowa,Delaware County,19055,17764,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Emmet County,19063,10302,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Harrison County,19085,14928,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Iowa,Johnson County,19103,130882,ND,ND,ND,ND,ND,ND,8.3,23,ND
Iowa,Lee County,19111,35862,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Linn County,19113,211226,ND,ND,ND,ND,0.064,57,8.8,24,40
Iowa,Montgomery County,19137,10740,ND,ND,ND,ND,0.058,ND,7.4,21,ND
Iowa,Muscatine County,19139,42745,ND,ND,ND,ND,ND,44,8.8,24,28
Iowa,Palo Alto County,19147,9421,ND,ND,ND,ND,0.064,ND,8,25,ND
Iowa,Polk County,19153,430640,ND,ND,6,34,0.061,54,8.3,23,ND
Iowa,Pottawattamie County,19155,93158,ND,0.09,ND,ND,ND,59,8.9,24,ND
Iowa,Scott County,19163,165224,1,ND,ND,ND,0.063,137,9.3,26,4
Iowa,Story County,19169,89542,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Tama County,19171,17767,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Van Buren County,19177,7570,ND,ND,2,8,0.057,45,7.9,20,3
Iowa,Woodbury County,19193,102172,ND,ND,ND,ND,ND,ND,9.1,23,ND
Iowa,Wright County,19197,13229,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kansas,Ford County,20057,33848,ND,ND,ND,ND,ND,110,ND,ND,ND
Kansas,Johnson County,20091,544179,ND,ND,ND,ND,0.064,62,9.5,23,ND
Kansas,Leavenworth County,20103,76227,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Kansas,Linn County,20107,9656,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kansas,Neosho County,20133,16512,ND,ND,IN,IN,0.06,76,10.2,24,IN
Kansas,Saline County,20169,55606,ND,0.04,ND,ND,ND,ND,ND,ND,ND
Kansas,Sedgwick County,20173,498365,ND,ND,7,39,0.067,76,IN,IN,ND
Kansas,Shawnee County,20177,177934,ND,ND,ND,ND,0.063,78,10.3,27,ND
Kansas,Sherman County,20181,6010,ND,ND,ND,ND,ND,111,ND,ND,ND
Kansas,Sumner County,20191,24132,ND,ND,3,24,0.063,89,11.3,31,4
Kansas,Trego County,20195,3001,ND,ND,2,IN,0.064,75,IN,IN,IN
Kansas,Wyandotte County,20209,157505,1,ND,8,IN,0.07,103,11.2,31,9
Kentucky,Bell County,21013,28691,ND,ND,ND,ND,0.056,ND,10.9,26,ND
Kentucky,Boone County,21015,118811,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Kentucky,Boyd County,21019,49542,ND,ND,5,26,0.059,46,8.8,22,5
Kentucky,Bullitt County,21029,74319,ND,ND,ND,ND,0.065,ND,IN,IN,ND
Kentucky,Campbell County,21037,90336,ND,ND,5,28,0.064,ND,8.4,20,9
Kentucky,Carter County,21043,27720,ND,ND,ND,ND,0.057,20,6.3,17,ND
Kentucky,Christian County,21047,73955,ND,ND,ND,ND,0.059,ND,10.4,27,ND
Kentucky,Daviess County,21059,96656,ND,ND,5,29,0.067,ND,10.3,26,7
Kentucky,Edmonson County,21061,12161,0,ND,ND,ND,0.061,ND,IN,IN,3
Kentucky,Fayette County,21067,295803,ND,ND,6,IN,0.064,27,9.6,23,5
Kentucky,Franklin County,21073,49285,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kentucky,Greenup County,21089,36910,ND,ND,ND,ND,0.055,ND,ND,ND,8
Kentucky,Hancock County,21091,8565,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Kentucky,Hardin County,21093,105543,ND,ND,ND,ND,0.062,ND,8.4,24,ND
Kentucky,Henderson County,21101,46250,ND,ND,ND,ND,ND,ND,IN,IN,68
Kentucky,Jefferson County,21111,741096,1,ND,15,50,0.073,46,11.2,28,13
Kentucky,Jessamine County,21113,48586,ND,ND,ND,ND,0.064,ND,ND,ND,3
Kentucky,Kenton County,21117,159720,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kentucky,Laurel County,21125,58849,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kentucky,Livingston County,21139,9519,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Kentucky,McCracken County,21145,65565,ND,ND,IN,IN,0.064,29,IN,IN,12
Kentucky,Madison County,21151,82916,ND,0.02,ND,ND,ND,ND,IN,IN,ND
Kentucky,Morgan County,21175,13923,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Kentucky,Ohio County,21183,23842,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kentucky,Oldham County,21185,60316,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Kentucky,Perry County,21193,28712,ND,ND,ND,ND,0.054,ND,8.5,21,ND
Kentucky,Pike County,21195,65024,ND,ND,ND,ND,0.055,ND,7.9,21,ND
Kentucky,Pulaski County,21199,63063,ND,ND,ND,ND,0.06,ND,9,25,ND
Kentucky,Simpson County,21213,17327,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Kentucky,Trigg County,21221,14339,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Kentucky,Warren County,21227,113792,ND,ND,ND,ND,0.06,ND,9,26,ND
Kentucky,Washington County,21229,11717,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Louisiana,Ascension Parish,22005,107215,ND,ND,6,32,0.063,ND,ND,ND,ND
Louisiana,Bossier Parish,22015,116979,ND,ND,ND,ND,0.058,91,ND,ND,10
Louisiana,Caddo Parish,22017,254969,ND,ND,ND,ND,0.061,ND,9.3,18,ND
Louisiana,Calcasieu Parish,22019,192768,ND,ND,5,29,0.063,ND,IN,IN,11
Louisiana,Concordia Parish,22029,20822,ND,ND,ND,ND,ND,ND,IN,IN,ND
Louisiana,East Baton Rouge Parish,22033,440171,1,0.02,7,37,0.063,46,8.5,19,12
Louisiana,Iberville Parish,22047,33387,ND,ND,3,18,0.069,ND,7.7,17,ND
Louisiana,Jefferson Parish,22051,432552,ND,ND,5,37,0.063,ND,7.3,17,ND
Louisiana,Lafayette Parish,22055,221578,ND,ND,ND,ND,0.061,56,7.6,16,ND
Louisiana,Lafourche Parish,22057,96318,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Louisiana,Livingston Parish,22063,128026,ND,ND,2,13,0.058,ND,ND,ND,ND
Louisiana,Orleans Parish,22071,343829,1,ND,9,IN,ND,45,7.6,16,ND
Louisiana,Ouachita Parish,22073,153720,ND,ND,ND,ND,0.059,ND,7.4,16,ND
Louisiana,Plaquemines Parish,22075,23042,ND,ND,ND,ND,ND,ND,IN,IN,ND
Louisiana,Pointe Coupee Parish,22077,22802,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Louisiana,Rapides Parish,22079,131613,ND,ND,ND,ND,ND,ND,7.3,15,ND
Louisiana,St. Bernard Parish,22087,35897,ND,ND,ND,ND,0.057,42,7.5,17,56
Louisiana,St. Charles Parish,22089,52780,ND,ND,ND,ND,ND,ND,IN,IN,43
Louisiana,St. James Parish,22093,22102,ND,ND,ND,ND,0.055,ND,ND,ND,IN
Louisiana,St. John the Baptist Parish,22095,45924,ND,0.05,ND,ND,0.061,ND,ND,ND,ND
Louisiana,St. Martin Parish,22099,52160,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Louisiana,St. Tammany Parish,22103,233740,ND,ND,ND,ND,0.056,ND,IN,IN,ND
Louisiana,Tangipahoa Parish,22105,121097,ND,ND,ND,ND,ND,ND,IN,IN,ND
Louisiana,Terrebonne Parish,22109,111860,ND,ND,ND,ND,ND,ND,6.8,14,ND
Louisiana,West Baton Rouge Parish,22121,23788,ND,ND,8,37,0.064,ND,8.8,19,19
Maine,Androscoggin County,23001,107702,ND,ND,ND,ND,0.057,28,6.3,15,ND
Maine,Aroostook County,23003,71870,0,ND,2,IN,0.053,141,4.5,12,IN
Maine,Cumberland County,23005,281674,1,ND,6,39,0.067,53,7.1,16,IN
Maine,Franklin County,23007,30768,ND,ND,ND,ND,ND,ND,IN,IN,ND
Maine,Hancock County,23009,54418,0,ND,ND,ND,0.069,20,3.6,13,1
Maine,Kennebec County,23011,122151,ND,ND,ND,ND,0.056,23,6.2,21,ND
Maine,Knox County,23013,39736,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Maine,Oxford County,23017,57833,ND,ND,ND,ND,0.058,ND,5.5,15,ND
Maine,Penobscot County,23019,153923,ND,ND,ND,ND,0.062,30,4.2,14,ND
Maine,Washington County,23029,32856,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Maine,York County,23031,197131,ND,ND,ND,ND,0.07,ND,ND,ND,ND
Maryland,Anne Arundel County,24003,537656,ND,ND,ND,ND,0.07,23,IN,IN,16
Maryland,Baltimore County,24005,805029,1,ND,14,41,0.075,ND,8.9,20,5
Maryland,Calvert County,24009,88737,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Maryland,Carroll County,24013,167134,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Maryland,Cecil County,24015,101108,ND,ND,ND,ND,0.07,ND,8.1,21,ND
Maryland,Charles County,24017,146551,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Maryland,Dorchester County,24019,32618,ND,ND,ND,ND,0.065,ND,6.4,14,2
Maryland,Frederick County,24021,233385,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Maryland,Garrett County,24023,30097,0,ND,2,8,0.061,ND,5.7,13,3
Maryland,Harford County,24025,244826,ND,ND,ND,ND,0.073,ND,7.9,21,ND
Maryland,Howard County,24027,287085,1,ND,16,46,ND,ND,6.9,16,ND
Maryland,Kent County,24029,20197,ND,ND,ND,ND,0.067,ND,5.5,15,ND
Maryland,Montgomery County,24031,971777,ND,ND,ND,ND,0.068,ND,7.3,17,ND
Maryland,Prince George's County,24033,863420,1,ND,6,34,0.071,21,6.6,14,3
Maryland,Washington County,24043,147430,ND,ND,ND,ND,0.065,ND,8,20,ND
Maryland,Baltimore city,24510,620961,ND,ND,12,51,0.067,27,7.7,19,ND
Massachusetts,Barnstable County,25001,215888,ND,ND,ND,ND,0.069,ND,ND,ND,ND
Massachusetts,Berkshire County,25003,131219,ND,ND,ND,ND,0.063,ND,8.3,16,ND
Massachusetts,Bristol County,25005,548285,ND,ND,ND,ND,0.069,ND,6.8,17,3
Massachusetts,Dukes County,25007,16535,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Massachusetts,Essex County,25009,743159,ND,ND,4,IN,0.063,ND,7,16,ND
Massachusetts,Franklin County,25011,71372,ND,ND,ND,ND,0.058,ND,8,17,ND
Massachusetts,Hampden County,25013,463490,ND,ND,9,40,0.064,ND,6.6,18,2
Massachusetts,Hampshire County,25015,158080,ND,ND,2,17,0.063,25,IN,IN,IN
Massachusetts,Middlesex County,25017,1503085,ND,ND,11,42,0.059,ND,6.8,17,ND
Massachusetts,Norfolk County,25021,670850,ND,ND,3,26,0.063,ND,IN,IN,ND
Massachusetts,Plymouth County,25023,494919,ND,ND,ND,ND,0.061,ND,8.3,18,ND
Massachusetts,Suffolk County,25025,722023,1,ND,12,45,0.06,28,8,18,2
Massachusetts,Worcester County,25027,798552,1,ND,9,44,0.063,31,9.1,19,2
Michigan,Allegan County,26005,111408,ND,ND,ND,ND,0.078,ND,7,18,ND
Michigan,Alpena County,26007,29598,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Bay County,26017,107771,ND,ND,ND,ND,ND,ND,6.1,16,ND
Michigan,Benzie County,26019,17525,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Michigan,Berrien County,26021,156813,ND,ND,ND,ND,0.069,ND,IN,IN,ND
Michigan,Cass County,26027,52293,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Michigan,Chippewa County,26033,38520,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Clinton County,26037,75382,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Michigan,Dickinson County,26043,26168,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Emmet County,26047,32694,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Genesee County,26049,425790,ND,ND,ND,ND,0.068,ND,7.3,17,ND
Michigan,Grand Traverse County,26055,86986,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Huron County,26063,33118,ND,ND,ND,ND,0.07,ND,ND,ND,ND
Michigan,Ingham County,26065,280895,ND,ND,6,38,0.063,ND,9.6,23,5
Michigan,Ionia County,26067,63905,ND,0.01,ND,ND,ND,ND,ND,ND,ND
Michigan,Iron County,26071,11817,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Kalamazoo County,26077,250331,ND,ND,ND,ND,0.064,ND,10.6,27,ND
Michigan,Kent County,26081,602622,1,ND,8,39,0.068,40,IN,IN,4
Michigan,Lenawee County,26091,99892,ND,ND,ND,ND,0.066,ND,IN,IN,ND
Michigan,Macomb County,26099,840978,ND,ND,ND,ND,0.068,ND,9.7,23,ND
Michigan,Manistee County,26101,24733,ND,ND,ND,ND,0.07,ND,IN,IN,ND
Michigan,Mason County,26105,28705,ND,ND,ND,ND,0.068,ND,ND,ND,ND
Michigan,Missaukee County,26113,14849,ND,ND,1,7,0.064,ND,9,19,ND
Michigan,Monroe County,26115,152021,ND,ND,ND,ND,ND,86,IN,IN,ND
Michigan,Muskegon County,26121,172188,ND,ND,ND,ND,0.075,ND,IN,IN,ND
Michigan,Oakland County,26125,1202362,ND,ND,ND,ND,0.068,ND,8.2,19,ND
Michigan,Ottawa County,26139,263801,ND,ND,ND,ND,0.069,42,10.1,26,ND
Michigan,Saginaw County,26145,200169,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,St. Clair County,26147,163040,ND,0.04,ND,ND,0.072,ND,9.3,23,71
Michigan,Schoolcraft County,26153,8485,ND,ND,ND,ND,0.066,ND,7,20,ND
Michigan,Tuscola County,26157,55729,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Michigan,Washtenaw County,26161,344791,ND,ND,ND,ND,0.066,ND,8.8,18,ND
Michigan,Wayne County,26163,1820584,2,0.01,14,48,0.069,85,12.4,28,37
Michigan,Wexford County,26165,32735,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Minnesota,Anoka County,27003,330844,1,0.01,6,38,0.07,82,7.6,28,2
Minnesota,Becker County,27005,32504,ND,ND,ND,ND,0.064,ND,12.1,45,ND
Minnesota,Beltrami County,27007,44442,ND,ND,ND,ND,ND,ND,8.2,46,ND
Minnesota,Carlton County,27017,35386,ND,ND,ND,ND,0.061,ND,3.8,25,ND
Minnesota,Cass County,27021,28567,ND,ND,ND,ND,ND,ND,13.2,49,ND
Minnesota,Cook County,27031,5176,ND,ND,ND,ND,ND,ND,3,24,ND
Minnesota,Crow Wing County,27035,62500,ND,ND,ND,ND,0.062,ND,6.8,28,ND
Minnesota,Dakota County,27037,398552,1,0.08,8,IN,ND,ND,8.8,27,14
Minnesota,Douglas County,27041,36009,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Freeborn County,27047,31255,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Goodhue County,27049,46183,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Minnesota,Hennepin County,27053,1152425,2,0.02,IN,IN,0.059,115,8.5,28,5
Minnesota,Itasca County,27061,45058,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Kandiyohi County,27067,42239,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Lake County,27075,10866,ND,ND,ND,ND,0.057,ND,4.7,26,ND
Minnesota,Lyon County,27083,25857,ND,ND,ND,ND,0.066,ND,7.5,30,ND
Minnesota,McLeod County,27085,36651,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Mille Lacs County,27095,26097,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Minnesota,Nicollet County,27103,32727,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Olmsted County,27109,144248,ND,ND,ND,ND,0.067,ND,IN,IN,ND
Minnesota,Otter Tail County,27111,57303,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Ramsey County,27123,508640,ND,0.04,ND,ND,ND,95,8.1,30,ND
Minnesota,St. Louis County,27137,200226,ND,0.01,5,IN,0.06,58,6.4,34,18
Minnesota,Scott County,27139,129928,ND,ND,ND,ND,0.063,ND,6.7,23,ND
Minnesota,Stearns County,27145,150642,ND,ND,ND,ND,0.064,ND,8.9,30,ND
Minnesota,Washington County,27163,238136,ND,0,ND,ND,0.065,ND,IN,IN,IN
Minnesota,Winona County,27169,51461,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Wright County,27171,124700,ND,ND,ND,ND,0.066,ND,8.8,29,ND
Mississippi,Adams County,28001,32297,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Bolivar County,28011,34145,ND,ND,ND,ND,0.063,ND,8.2,17,ND
Mississippi,DeSoto County,28033,161252,ND,ND,ND,ND,0.065,ND,8.7,20,ND
Mississippi,Forrest County,28035,74934,ND,ND,ND,ND,ND,ND,9.8,21,ND
Mississippi,Grenada County,28043,21906,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Hancock County,28045,43929,ND,ND,ND,ND,0.056,ND,8.9,21,ND
Mississippi,Harrison County,28047,187105,ND,ND,ND,ND,0.057,ND,8.7,17,ND
Mississippi,Hinds County,28049,245285,1,ND,ND,ND,0.055,57,10.5,21,3
Mississippi,Jackson County,28059,139668,ND,ND,3,25,0.059,ND,8,16,3
Mississippi,Jones County,28067,67761,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Lauderdale County,28075,80261,ND,ND,ND,ND,0.053,ND,IN,IN,ND
Mississippi,Lee County,28081,82910,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Mississippi,Lowndes County,28087,59779,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Pearl River County,28109,55834,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Rankin County,28121,141617,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Scott County,28123,28264,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Warren County,28149,48773,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Yalobusha County,28161,12678,ND,ND,ND,ND,0.055,ND,ND,ND,ND
Missouri,Andrew County,29003,17291,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Missouri,Boone County,29019,162642,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Missouri,Buchanan County,29021,89201,ND,ND,ND,ND,ND,114,8.4,21,ND
Missouri,Callaway County,29027,44332,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Missouri,Cass County,29037,99478,ND,ND,ND,ND,0.063,ND,7,18,ND
Missouri,Cedar County,29039,13982,ND,ND,ND,ND,0.059,ND,IN,IN,ND
Missouri,Clay County,29047,221939,ND,ND,ND,ND,0.071,ND,6.3,19,ND
Missouri,Clinton County,29049,20743,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Missouri,Franklin County,29071,101492,ND,ND,ND,ND,ND,ND,ND,ND,34
Missouri,Greene County,29077,275174,ND,ND,ND,ND,0.063,40,IN,IN,ND
Missouri,Holt County,29087,4912,ND,0.02,ND,ND,ND,ND,ND,ND,ND
Missouri,Howell County,29091,40400,ND,ND,ND,ND,ND,ND,IN,IN,ND
Missouri,Iron County,29093,10630,ND,0.34,ND,ND,ND,ND,ND,ND,43
Missouri,Jackson County,29095,674158,1,ND,10,44,ND,92,8.6,23,5
Missouri,Jasper County,29097,117404,ND,ND,ND,ND,0.064,120,IN,IN,ND
Missouri,Jefferson County,29099,218733,ND,0.06,ND,ND,0.073,65,8,22,24
Missouri,Lincoln County,29113,52566,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Missouri,Maries County,29125,9176,ND,ND,ND,ND,ND,ND,IN,IN,ND
Missouri,Mercer County,29129,3785,ND,ND,ND,ND,ND,ND,IN,IN,ND
Missouri,Monroe County,29137,8840,ND,ND,2,7,0.055,33,IN,IN,4
Missouri,New Madrid County,29143,18956,ND,ND,ND,ND,ND,ND,ND,ND,405
Missouri,Perry County,29157,18971,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Missouri,Reynolds County,29179,6696,ND,0.03,ND,ND,ND,ND,ND,ND,ND
Missouri,St. Charles County,29183,360485,ND,ND,ND,ND,0.067,ND,IN,IN,23
Missouri,Ste. Genevieve County,29186,18145,ND,ND,ND,ND,0.065,ND,IN,IN,ND
Missouri,St. Francois County,29187,65359,ND,0.02,ND,ND,ND,ND,ND,ND,ND
Missouri,St. Louis County,29189,998954,ND,ND,10,41,0.065,ND,7,17,19
Missouri,St. Louis city,29510,319294,1,ND,10,46,0.068,161,9.4,22,13
Montana,Cascade County,30013,81327,ND,ND,ND,ND,ND,ND,IN,IN,ND
Montana,Fergus County,30027,11586,ND,ND,1,9,0.073,78,6.6,41,ND
Montana,Flathead County,30029,90928,ND,ND,ND,ND,0.057,93,7.8,37,ND
Montana,Gallatin County,30031,89513,1,ND,2,IN,ND,ND,5.7,34,ND
Montana,Lake County,30047,28746,ND,ND,ND,ND,ND,ND,IN,IN,ND
Montana,Lewis and Clark County,30049,63395,1,ND,ND,ND,0.067,ND,9.3,44,1
Montana,Lincoln County,30053,19687,ND,ND,ND,ND,ND,96,14.6,53,ND
Montana,Missoula County,30063,109299,ND,ND,ND,ND,0.065,84,10.8,49,ND
Montana,Phillips County,30071,4253,ND,ND,1,8,0.064,87,IN,IN,ND
Montana,Powder River County,30075,1743,ND,ND,1,10,0.069,111,9.5,38,ND
Montana,Ravalli County,30081,40212,ND,ND,ND,ND,ND,ND,8.9,51,ND
Montana,Richland County,30083,9746,ND,ND,1,11,0.07,72,6.3,30,IN
Montana,Rosebud County,30087,9233,ND,ND,1,IN,ND,99,9.2,45,ND
Montana,Sanders County,30089,11413,ND,ND,ND,ND,ND,155,IN,IN,ND
Montana,Silver Bow County,30093,34200,ND,ND,ND,ND,ND,107,9.7,49,ND
Montana,Yellowstone County,30111,147972,ND,ND,ND,ND,ND,ND,10,38,IN
Nebraska,Cass County,31025,25241,ND,ND,ND,ND,ND,70,IN,IN,ND
Nebraska,Cedar County,31027,8852,ND,ND,ND,ND,ND,ND,IN,IN,ND
Nebraska,Cherry County,31031,5713,ND,ND,ND,ND,ND,ND,IN,IN,ND
Nebraska,Deuel County,31049,1941,ND,ND,ND,ND,ND,ND,IN,IN,ND
Nebraska,Douglas County,31055,517110,1,ND,ND,ND,0.066,67,8.5,22,48
Nebraska,Gage County,31067,22311,ND,ND,ND,ND,ND,ND,IN,IN,ND
Nebraska,Hall County,31079,58607,ND,ND,ND,ND,ND,ND,7.4,22,ND
Nebraska,Knox County,31107,8701,ND,ND,ND,ND,0.072,ND,ND,ND,ND
Nebraska,Lancaster County,31109,285407,ND,ND,ND,ND,0.059,ND,7.1,21,IN
Nebraska,Lincoln County,31111,36288,ND,ND,ND,ND,ND,ND,IN,IN,ND
Nebraska,Sarpy County,31153,158840,ND,ND,ND,ND,ND,ND,8.8,26,ND
